,praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
301,62.6,22.7,13.1,125.0,10.3,5.73,22.5,418.0,17.3,32.5,12.4
302,10.8,5.33,23.9,49.1,12.9,11.0,22.9,483.0,2.35,21.1,85.8
303,74.3,26.4,13.5,36.5,50.0,4.26,17.2,70.4,3.0,14.7,92.2
304,73.0,21.7,6.79,213.0,23.5,16.5,19.1,429.0,1.67,44.9,3.0
305,10.9,6.38,16.7,145.0,33.4,8.58,11.0,305.0,1.6,13.8,62.6
306,55.2,18.9,11.0,123.0,11.9,11.5,23.9,422.0,11.2,25.3,14.2
307,56.7,13.9,18.4,13.5,15.5,5.67,30.2,538.0,17.9,39.6,14.6
308,97.3,61.5,11.8,165.0,34.6,24.6,31.9,433.0,19.5,35.2,21.5
309,45.3,19.5,19.3,47.0,85.8,3.55,30.0,1124.0,17.5,44.5,157.0
310,45.3,16.5,17.0,89.8,47.0,19.5,46.1,407.0,11.1,27.6,122.0
311,248.0,271.0,17.8,34.0,38.9,21.5,38.5,449.0,2.59,35.5,3.75
312,58.3,34.0,19.8,164.0,35.9,20.5,33.4,313.0,14.1,32.2,13.9
313,112.0,46.1,10.8,133.0,9.22,4.1,10.8,552.0,26.9,53.8,25.9
314,16.0,15.0,17.9,153.0,35.2,12.9,35.5,457.0,11.2,25.7,1.19
315,67.3,31.6,26.7,13.5,17.2,31.1,50.5,294.0,16.1,35.9,1.0
316,39.2,15.8,16.5,22.9,17.3,11.0,28.9,311.0,3.75,7.91,8.35
317,68.5,24.4,20.7,63.8,26.2,27.1,33.1,392.0,2.97,13.6,57.8
318,59.9,40.0,6.44,196.0,25.9,95.6,143.0,1700.0,16.8,47.4,16.7
319,88.2,67.3,36.5,58.8,119.0,12.7,36.2,429.0,38.2,136.0,55.7
320,13.1,11.2,42.2,154.0,64.4,21.1,34.9,239.0,5.38,17.2,73.7
321,99.1,50.5,14.6,76.4,30.0,3.92,12.0,343.0,13.6,29.4,12.0
322,53.3,18.6,22.7,55.7,21.1,17.6,17.2,449.0,29.2,44.1,21.9
323,137.0,50.0,8.28,29.2,14.5,6.98,17.9,281.0,4.18,23.5,123.0
324,44.5,19.8,19.8,89.8,47.8,3.92,18.9,661.0,4.29,21.7,126.0
325,255.0,85.8,20.0,73.0,34.9,7.23,17.0,322.0,12.7,21.1,26.2
326,55.2,25.0,31.3,98.2,35.2,3.0,6.04,27.6,5.57,18.1,7.43
327,74.3,34.6,13.9,17.2,10.8,9.31,32.5,1286.0,36.5,73.0,33.7
328,117.0,49.1,1.0,396.0,33.1,12.2,27.9,547.0,2.39,22.1,98.2
329,44.5,26.4,13.2,69.8,13.0,15.8,19.3,231.0,35.5,54.7,27.4
330,87.4,54.7,20.5,176.0,33.7,10.3,22.3,426.0,27.1,27.4,1.73
331,32.2,14.9,13.7,12.9,15.5,9.06,21.5,528.0,9.91,23.3,95.6
332,37.2,14.5,26.9,17.3,13.2,24.1,31.6,300.0,12.2,34.3,18.4
333,50.9,24.4,68.5,137.0,50.9,22.7,40.3,496.0,42.6,74.3,200.0
334,29.4,20.4,35.2,33.1,38.9,26.7,47.0,340.0,32.8,53.8,19.1
335,48.3,7.43,15.5,110.0,48.7,3.79,17.0,483.0,7.04,31.3,92.2
336,64.9,34.9,5.94,11.3,26.2,68.5,106.0,615.0,15.1,40.3,26.9
337,32.8,23.9,23.7,18.8,5.83,33.4,55.2,806.0,15.3,37.2,21.5
338,26.4,17.0,51.9,47.8,8.2,22.9,37.9,257.0,50.9,71.7,27.9
339,69.8,34.0,24.1,71.7,17.6,13.2,24.6,264.0,18.1,41.4,23.5
340,45.7,18.3,8.66,18.4,64.4,10.6,14.9,429.0,16.1,25.9,10.5
341,131.0,37.2,19.1,97.3,30.2,24.1,29.4,313.0,16.0,19.1,18.4
342,106.0,38.2,9.14,24.1,32.2,18.3,30.5,685.0,12.1,28.1,19.6
343,68.5,28.1,16.4,145.0,16.5,10.7,23.7,573.0,4.18,30.8,59.9
344,59.4,26.7,10.1,83.5,1.64,6.79,21.5,346.0,4.18,23.3,33.7
345,47.0,17.0,42.2,71.0,44.5,10.8,57.3,538.0,26.9,50.0,15.3
346,56.7,35.9,9.14,30.8,15.4,37.9,105.0,1625.0,21.7,30.5,19.8
347,28.4,12.6,21.1,31.3,45.3,36.2,60.4,835.0,4.18,15.8,90.6
348,35.2,19.1,28.6,66.1,60.4,2.71,21.1,599.0,3.19,14.3,90.6
349,47.0,24.1,17.8,257.0,75.7,7.77,29.2,956.0,10.8,30.5,11.5
350,63.2,18.9,20.5,15.4,9.31,21.1,113.0,1104.0,23.7,56.2,13.3
351,62.6,21.1,6.04,209.0,24.8,5.05,18.4,583.0,2.79,12.4,8.28
352,14.2,11.7,24.8,38.9,63.2,6.1,14.2,355.0,10.7,30.2,10.6
353,53.8,20.7,16.4,15.3,1.43,12.1,18.4,509.0,9.65,53.3,217.0
354,68.5,27.6,17.5,82.0,18.6,6.85,24.1,359.0,1.1,61.5,14.1
355,119.0,64.4,10.5,53.8,28.6,8.66,33.4,2480.0,2.97,31.9,78.4
356,41.8,11.1,14.9,18.6,66.7,6.79,34.0,698.0,13.3,22.3,11.1
357,44.9,21.7,15.0,48.7,42.9,2.59,20.9,414.0,13.9,27.4,9.91
358,72.3,38.9,1.0,547.0,11.2,3.68,13.7,343.0,15.3,40.0,18.3
359,53.3,34.6,2.89,1.11,764.0,8.66,12.7,219.0,24.6,63.8,137.0
360,31.9,18.9,87.4,130.0,31.3,7.57,24.6,523.0,9.47,23.7,16.3
361,117.0,59.4,10.8,284.0,23.1,21.1,30.5,305.0,7.1,21.1,32.5
362,45.3,32.8,26.9,137.0,37.5,3.08,11.5,649.0,2.33,31.6,57.3
363,46.6,30.0,12.9,16.7,14.2,10.1,16.7,262.0,32.5,96.5,25.7
364,30.5,8.9,163.0,379.0,75.0,13.2,16.5,514.0,19.5,26.4,17.8
365,41.8,12.0,11.1,28.9,35.9,6.26,22.9,24.4,2.79,15.4,83.5
366,102.0,38.2,37.5,244.0,73.7,14.9,15.3,466.0,5.28,30.5,122.0
367,33.1,26.2,23.7,168.0,43.3,115.0,209.0,791.0,20.0,18.1,12.4
368,44.1,33.4,15.7,21.3,15.5,7.77,19.1,441.0,2.35,17.5,82.8
369,15.3,14.9,18.9,17.8,14.1,21.9,23.7,294.0,8.28,17.9,10.7
370,85.8,31.3,9.65,73.7,10.8,5.94,17.9,441.0,22.3,46.6,32.8
371,32.5,27.1,22.7,22.5,22.5,21.9,33.1,509.0,21.1,33.7,9.22
372,54.7,19.3,36.2,50.0,28.4,12.1,28.9,294.0,16.1,27.6,15.0
373,40.0,23.7,14.3,19.8,13.7,1.73,5.67,16.8,23.5,42.6,11.5
374,36.5,16.5,15.5,32.2,9.47,3.34,5.42,257.0,26.9,47.0,66.1
375,52.8,50.0,34.3,95.6,71.7,29.4,64.9,453.0,12.3,22.1,21.3
376,81.3,61.5,20.4,25.9,13.7,40.7,50.0,422.0,11.2,28.4,14.5
377,13.5,30.0,24.8,255.0,61.5,29.7,44.5,231.0,19.3,35.2,15.1
378,17.5,29.4,27.4,22.9,24.1,22.5,29.2,422.0,26.9,44.1,4.26
379,38.2,25.9,45.7,39.6,13.1,20.2,42.6,362.0,3.43,13.0,52.8
380,104.0,26.2,11.4,11.9,22.1,9.56,15.0,349.0,1.36,31.9,1.0
381,37.2,12.1,31.3,21.9,10.0,12.0,22.3,372.0,3.34,10.4,75.7
382,52.3,41.0,25.0,53.8,19.3,9.91,20.0,610.0,1.0,52.8,8.9
383,80.6,25.5,11.8,96.5,9.65,2.76,18.6,13.3,20.2,40.0,17.0
384,227.0,42.2,16.3,62.6,11.7,2.39,26.2,562.0,2.27,28.1,20.5
385,33.4,4.45,17.2,30.0,28.6,28.9,55.7,429.0,27.9,37.5,12.5
386,31.9,16.0,7.77,24.1,85.8,5.73,7.04,292.0,10.6,30.2,12.1
387,73.7,25.3,15.4,120.0,12.6,4.78,18.8,445.0,4.74,15.3,114.0
388,55.2,55.7,9.56,514.0,53.8,7.99,15.3,685.0,14.3,26.7,11.5
389,37.5,21.9,7.37,23.3,57.8,8.9,14.3,375.0,18.4,46.1,35.2
390,25.0,16.5,9.31,19.5,3.52,106.0,172.0,1715.0,11.3,22.7,16.7
391,70.4,33.1,8.2,500.0,93.1,47.8,88.2,1055.0,2.53,12.1,87.4
392,31.1,20.2,23.9,400.0,110.0,9.14,13.2,567.0,31.3,80.6,106.0
393,47.4,14.1,9.31,20.4,26.2,6.26,8.28,385.0,14.3,25.3,14.9
394,86.6,49.1,17.9,4.91,15.3,10.8,17.0,284.0,21.3,37.2,11.2
395,120.0,45.3,18.6,113.0,25.5,16.5,38.2,1114.0,16.0,31.3,6.55
396,51.4,37.9,20.0,19.3,25.7,10.5,44.5,764.0,17.5,36.8,14.3
397,27.6,26.2,18.3,64.9,44.1,21.5,30.8,1155.0,18.1,31.1,8.98
398,42.2,16.8,16.5,163.0,8.74,12.7,30.5,441.0,9.91,17.6,17.6
399,32.2,28.4,39.6,25.5,11.5,14.7,24.6,319.0,24.6,44.1,19.8
400,38.2,24.1,28.1,22.1,30.0,25.5,47.8,1186.0,25.3,53.8,39.2
401,55.7,26.9,28.6,9.47,50.0,25.0,43.3,437.0,3.85,19.6,38.2
402,47.4,25.5,15.5,35.5,3.65,14.9,18.4,737.0,4.87,15.4,76.4
403,40.7,17.2,15.1,15.5,3.62,11.7,21.1,514.0,24.4,50.0,119.0
404,10.6,14.1,28.4,17.9,12.4,17.6,25.7,365.0,4.57,12.5,40.3
405,92.2,30.2,16.7,77.0,55.7,7.91,26.9,562.0,2.69,13.3,61.5
406,33.4,12.7,21.5,48.3,22.9,22.1,29.7,276.0,3.46,11.3,24.4
407,25.7,7.84,41.4,29.4,25.5,17.6,28.6,331.0,14.5,27.6,13.8
408,63.2,32.5,22.1,292.0,35.2,4.14,8.28,164.0,13.8,27.6,1.02
409,65.5,28.9,11.9,104.0,28.6,13.6,21.9,337.0,13.3,33.4,17.5
410,51.4,59.4,42.2,178.0,66.1,5.78,22.7,514.0,9.82,18.3,4.0
411,65.5,48.3,17.9,93.1,25.3,9.31,11.9,491.0,2.86,15.7,57.3
412,13.3,20.7,18.6,147.0,35.5,69.2,110.0,1275.0,5.73,16.5,16.8
413,114.0,39.6,14.1,75.0,33.1,6.73,23.3,737.0,13.3,35.2,12.7
414,141.0,65.5,46.6,276.0,112.0,40.0,56.2,743.0,15.0,26.7,20.7
415,43.7,19.3,23.7,34.6,19.8,20.0,35.9,610.0,1.35,93.1,8.35
416,3.82,14.6,15.8,8.9,10.3,12.6,26.9,308.0,46.6,77.7,44.9
417,93.1,80.6,21.3,17.2,18.4,28.6,43.3,311.0,8.2,18.4,5.28
418,50.0,28.1,22.3,28.6,19.3,9.73,39.2,1472.0,29.7,59.9,22.7
419,89.8,17.0,20.9,85.8,29.7,1.0,3.16,248.0,16.3,28.9,19.6
420,17.2,15.1,21.3,22.1,20.0,20.9,27.9,379.0,12.7,25.9,3.4
421,43.7,26.7,23.3,78.4,43.7,11.5,12.6,483.0,11.1,31.1,9.06
422,19.1,15.5,4.37,9.91,22.3,10.8,16.3,491.0,8.51,27.9,16.4
423,195.0,60.4,32.2,11.4,44.5,4.53,13.3,28.4,15.8,25.9,20.7
424,88.2,33.7,12.0,56.2,16.7,10.0,16.3,407.0,15.5,38.5,11.1
425,92.2,37.2,22.3,146.0,19.3,19.1,37.2,325.0,14.1,27.6,16.1
426,39.6,11.9,19.3,552.0,76.4,16.5,27.4,365.0,13.6,24.6,16.1
427,93.1,36.5,9.31,349.0,38.9,11.5,19.3,355.0,8.58,12.6,23.5
428,18.3,4.1,14.5,149.0,25.0,18.9,39.6,355.0,4.74,17.5,67.3
429,63.2,22.7,10.8,106.0,36.5,57.3,93.1,1046.0,15.0,31.9,11.4
430,43.7,13.8,2.21,316.0,24.6,15.0,31.3,828.0,12.3,23.1,11.8
431,8.2,17.0,21.1,85.8,31.3,16.5,26.9,305.0,23.5,38.5,8.9
432,26.7,17.0,1.35,365.0,17.8,14.1,52.8,1700.0,10.3,20.7,13.9
433,50.5,28.1,49.1,60.4,41.8,31.6,51.9,1219.0,8.58,53.3,12.5
434,84.3,34.6,5.14,15.8,14.3,13.5,21.5,349.0,3.46,12.1,62.1
435,62.6,24.1,20.9,12.9,23.1,40.7,93.1,1794.0,4.18,12.6,93.1
436,63.8,21.7,15.4,39.2,8.9,100.0,233.0,2458.0,14.1,32.5,14.5
437,43.3,21.7,8.66,48.3,42.6,8.98,14.9,557.0,8.2,34.3,165.0
438,79.1,25.5,7.57,93.1,22.1,8.9,19.8,478.0,20.5,32.8,14.2
439,10.8,15.0,23.5,28.4,55.7,1.22,14.7,828.0,18.9,31.9,10.1
440,78.4,22.1,30.0,328.0,35.2,12.3,22.9,253.0,16.7,25.9,10.6
441,90.6,49.1,18.1,105.0,21.5,22.9,31.9,392.0,15.8,24.1,11.1
442,552.0,389.0,12.9,161.0,44.5,17.8,25.9,770.0,4.03,13.5,26.7
443,40.7,24.6,61.0,120.0,22.9,23.5,50.5,717.0,45.7,85.8,39.6
444,60.4,12.7,17.3,175.0,22.3,12.7,31.1,319.0,3.65,23.3,55.7
445,50.5,21.1,17.5,22.3,4.22,25.3,38.9,382.0,3.52,8.43,71.7
446,117.0,38.9,26.7,14.3,10.3,15.1,29.2,843.0,23.1,36.8,15.1
447,61.0,21.7,12.6,82.0,23.7,10.6,20.5,1346.0,21.7,36.2,16.4
448,92.2,42.2,14.5,32.2,37.2,4.0,17.0,334.0,11.4,29.2,70.4
449,11.0,9.31,7.43,126.0,24.1,15.5,26.2,594.0,18.9,44.1,22.7
450,170.0,86.6,29.7,179.0,47.0,29.2,43.3,331.0,4.18,23.9,93.9
451,54.2,21.9,11.7,229.0,36.5,36.2,127.0,939.0,16.8,40.0,14.9
452,18.1,23.5,40.7,91.4,53.8,14.7,28.4,552.0,4.96,41.4,292.0
453,34.9,21.7,41.4,215.0,83.5,7.23,17.6,538.0,27.6,57.3,20.4
454,179.0,164.0,15.8,45.7,11.9,17.5,30.0,730.0,17.2,25.9,17.9
455,83.5,48.7,34.0,107.0,67.9,17.6,31.1,316.0,2.05,15.0,71.7
456,89.0,31.6,54.2,79.9,26.9,4.0,58.8,523.0,5.47,21.7,54.7
457,58.8,37.9,5.67,22.3,11.2,34.9,63.8,1946.0,15.7,29.4,9.91
458,31.9,11.4,14.1,12.2,6.04,14.9,28.9,470.0,24.8,39.6,30.8
459,46.6,19.5,29.2,58.3,47.4,5.38,31.6,457.0,10.2,32.8,22.1
460,37.9,10.6,17.6,32.2,14.7,14.6,28.4,244.0,6.79,14.6,66.1
461,73.0,20.0,13.3,13.6,28.6,2.25,23.1,302.0,58.3,111.0,170.0
462,42.2,17.9,31.9,75.7,77.0,24.1,106.0,1794.0,15.4,49.6,200.0
463,87.4,57.3,24.8,110.0,40.7,24.4,27.4,359.0,12.0,20.4,6.98
464,41.0,17.0,21.1,244.0,70.4,10.4,16.8,470.0,19.6,38.5,19.6
465,50.9,35.2,22.1,22.9,3.19,3.96,12.4,115.0,32.2,49.6,18.8
466,10.8,19.3,17.8,29.4,26.9,5.19,10.8,698.0,4.74,10.1,69.8
467,77.7,48.7,20.7,21.7,18.6,11.0,33.1,400.0,13.5,22.7,14.6
468,74.3,30.5,22.1,35.5,50.9,126.0,276.0,1625.0,17.6,27.9,17.9
469,40.7,55.7,11.2,114.0,26.7,53.3,84.3,956.0,12.4,26.7,15.0
470,77.0,20.4,12.6,25.7,37.5,3.55,12.4,562.0,10.1,25.5,26.7
471,14.3,5.42,13.0,89.0,1.64,8.2,21.9,414.0,21.3,33.1,23.1
472,51.9,33.7,15.0,43.3,12.5,20.9,35.9,403.0,93.9,170.0,40.0
473,33.4,24.1,9.14,18.9,54.7,44.9,102.0,1334.0,28.9,69.2,47.0
474,75.0,46.6,2.84,457.0,37.2,6.55,19.8,389.0,20.0,31.1,11.5
475,1.61,11.4,34.3,31.3,7.04,49.6,81.3,791.0,8.51,30.8,155.0
476,53.3,21.5,6.44,253.0,23.1,9.47,26.2,334.0,3.4,27.6,79.1
477,85.1,32.2,16.8,32.5,64.4,3.02,27.9,207.0,26.4,38.9,11.8
478,50.9,28.6,25.3,56.7,38.2,29.4,60.4,717.0,9.73,19.3,14.7
479,25.9,22.9,33.4,93.9,26.7,5.57,14.9,615.0,16.1,33.7,17.5
480,85.8,62.1,53.3,325.0,239.0,12.9,24.6,403.0,10.6,14.3,12.2
481,94.7,37.5,72.3,96.5,33.1,25.5,46.6,588.0,4.7,17.2,28.4
482,40.0,18.4,24.4,63.8,35.2,6.15,16.4,81.3,15.5,27.6,15.7
483,77.0,46.1,35.2,90.6,41.0,16.1,25.9,396.0,2.0,76.4,14.3
484,28.6,22.5,40.7,204.0,66.1,20.0,29.2,239.0,1.32,36.2,1.79
485,92.2,56.2,15.3,19.1,12.7,9.14,9.39,322.0,11.1,20.0,18.9
486,14.6,11.0,8.35,175.0,32.2,8.35,25.9,965.0,23.9,35.2,5.19
487,54.2,17.9,19.8,22.1,18.8,27.1,41.8,319.0,10.9,23.9,13.2
488,29.7,18.9,3.43,14.7,23.5,2.76,9.65,276.0,1.95,79.1,4.87
489,31.1,23.9,1.0,843.0,82.8,16.4,30.2,474.0,8.06,21.7,6.61
490,75.0,21.1,39.2,33.4,2.23,18.1,28.4,302.0,19.5,36.8,12.6
491,42.9,23.1,4.14,200.0,16.7,19.1,45.3,1252.0,25.7,27.9,17.9
492,82.8,26.9,7.84,142.0,3.85,17.6,25.3,297.0,34.0,71.7,33.7
493,426.0,255.0,11.5,58.3,15.8,7.77,16.3,685.0,5.52,6.44,3.62
494,54.2,33.4,20.4,20.5,22.3,20.9,33.1,269.0,18.9,46.6,18.3
495,88.2,19.5,22.3,81.3,16.4,4.57,16.5,542.0,18.4,33.4,14.1
496,12.4,21.1,14.2,14.1,61.5,16.0,33.7,835.0,10.4,21.5,8.06
497,147.0,85.1,15.4,59.4,111.0,21.1,27.9,297.0,1.18,8.82,41.8
498,58.8,24.1,18.3,16.7,9.47,2.21,10.6,1.95,1.6,5.38,5.38
499,48.3,12.3,24.1,17.3,1.0,1.55,19.5,42.9,21.1,34.3,18.6
500,107.0,50.0,13.6,67.9,23.1,20.9,27.1,331.0,3.11,12.1,33.7
501,79.9,122.0,23.7,20.5,15.5,10.7,22.7,407.0,3.65,20.7,59.9
502,77.0,36.2,23.9,29.4,10.9,15.0,27.9,375.0,22.3,35.9,11.7
503,52.3,34.9,10.1,32.2,36.8,23.9,35.5,231.0,14.1,18.8,11.5
504,69.8,23.1,17.6,445.0,109.0,24.8,38.5,179.0,21.1,47.8,22.7
505,84.3,33.7,21.1,38.2,24.4,9.82,13.1,519.0,28.6,55.2,16.7
506,59.9,30.5,8.51,6.55,8.74,10.4,22.3,368.0,13.7,25.0,14.3
507,47.0,25.9,13.6,16.4,13.2,23.5,46.6,1241.0,18.4,35.2,22.9
508,74.3,16.5,53.3,47.8,50.9,22.3,37.5,461.0,22.1,49.1,14.2
509,8.28,19.3,18.9,161.0,35.5,26.2,44.1,191.0,17.6,38.2,20.9
510,66.1,53.8,11.1,20.5,26.9,5.19,15.7,573.0,8.9,11.4,38.5
511,47.0,23.1,18.6,28.1,18.4,11.3,30.0,743.0,28.4,47.8,19.3
512,23.5,27.4,2.44,122.0,15.0,18.1,28.4,294.0,3.82,19.5,155.0
513,12.3,6.38,7.37,111.0,18.6,3.11,18.8,496.0,14.2,34.0,13.5
514,15.8,10.5,12.6,18.9,14.2,17.5,32.5,316.0,31.1,46.6,19.6
515,21.1,25.3,11.4,109.0,22.3,20.2,31.9,385.0,17.2,29.4,11.7
516,12.7,10.2,11.5,130.0,28.6,20.0,25.7,359.0,6.21,29.4,27.1
517,15.0,13.2,26.2,28.1,13.5,11.2,44.1,2035.0,7.17,17.2,12.6
518,69.2,28.6,4.57,389.0,45.3,1.81,14.5,204.0,22.7,38.2,10.4
519,9.65,3.05,31.3,106.0,40.0,28.1,46.1,470.0,15.8,20.7,7.91
520,43.7,21.5,12.2,53.3,59.9,6.79,15.3,362.0,29.4,52.8,38.9
521,32.2,21.5,5.88,136.0,18.3,96.5,175.0,578.0,3.34,23.3,83.5
522,37.9,12.3,11.2,57.3,10.6,16.7,46.6,1611.0,15.3,39.2,23.1
523,48.3,33.7,15.7,11.3,28.1,7.5,32.5,1310.0,11.2,27.9,20.9
524,33.1,17.3,5.99,93.9,26.4,11.5,41.8,692.0,4.57,18.4,3.02
525,45.7,28.9,12.1,13.7,40.3,5.88,13.3,403.0,23.7,43.3,8.28
526,22.1,5.78,30.5,17.3,7.3,7.1,19.5,418.0,28.4,57.8,20.2
527,40.0,16.0,10.2,18.9,31.3,5.19,17.2,922.0,25.0,59.9,35.9
528,31.1,20.2,8.74,11.3,67.9,42.6,54.2,343.0,2.44,6.92,73.7
529,97.3,36.5,21.7,57.3,4.18,4.74,40.7,505.0,16.1,31.6,14.9
530,31.9,23.9,7.57,40.3,19.1,56.2,93.9,1625.0,10.7,18.4,10.3
531,38.2,13.9,30.8,211.0,92.2,14.1,17.5,547.0,17.5,39.6,16.7
532,51.4,25.7,7.91,23.3,24.1,7.04,14.9,470.0,42.6,58.3,2.97
533,56.2,19.8,9.14,17.2,10.6,16.8,71.7,1894.0,12.0,23.5,16.3
534,75.0,26.4,25.0,163.0,35.5,19.6,30.0,250.0,15.8,28.9,12.4
535,55.7,23.9,8.06,16.7,25.7,16.4,21.7,573.0,35.2,63.2,17.8
536,50.9,31.6,11.1,8.28,21.3,1.22,14.2,604.0,1.19,63.8,7.5
537,83.5,26.9,13.7,52.3,46.6,18.3,22.9,292.0,19.3,47.0,20.4
538,67.9,28.4,18.4,255.0,40.7,119.0,173.0,621.0,6.44,13.1,77.0
539,57.3,26.7,14.6,109.0,21.5,1.89,9.56,396.0,19.6,39.6,16.8
540,34.9,54.7,11.8,105.0,18.4,19.6,77.0,163.0,8.9,31.9,33.7
541,66.7,24.8,16.7,19.1,18.9,30.8,61.0,1252.0,18.8,36.5,25.9
542,39.6,45.3,21.3,110.0,38.5,10.1,30.5,685.0,18.8,34.6,22.3
543,47.4,27.9,7.04,25.7,39.6,5.0,16.7,319.0,10.3,27.1,5.78
544,40.7,22.3,14.9,38.5,7.04,6.38,29.7,19.6,32.2,64.9,51.9
545,52.3,25.0,15.3,29.4,9.31,17.6,17.9,316.0,15.4,41.0,146.0
546,18.9,15.0,10.6,172.0,21.5,21.9,28.4,372.0,1.39,50.0,6.32
547,41.0,23.1,20.9,11.8,8.9,21.3,37.2,784.0,3.19,21.9,65.5
548,47.0,33.7,22.9,33.7,20.7,18.6,35.5,267.0,12.9,34.6,13.7
549,33.1,19.3,9.39,18.4,33.1,27.6,30.2,407.0,9.56,16.0,9.91
550,20.2,15.5,8.2,150.0,40.3,16.3,33.4,331.0,3.65,11.5,83.5
551,75.0,32.2,24.6,20.5,16.0,21.3,25.5,284.0,27.6,47.8,30.2
552,25.0,10.7,9.73,27.1,15.4,11.0,19.1,302.0,3.13,18.4,71.0
553,5.57,13.0,14.6,112.0,32.8,16.4,27.4,528.0,2.21,24.1,69.2
554,21.5,9.73,14.5,91.4,17.8,2.71,16.8,552.0,6.1,19.3,6.92
555,53.3,22.5,17.6,15.5,9.91,21.3,34.3,313.0,23.1,38.9,16.7
556,59.9,26.9,20.4,196.0,69.8,18.6,49.6,947.0,4.57,18.8,133.0
557,54.2,23.3,9.22,26.7,49.1,17.5,33.4,478.0,10.9,25.0,5.28
558,90.6,38.9,15.7,33.4,16.7,25.7,34.6,359.0,3.34,19.3,97.3
559,73.0,30.2,44.9,349.0,130.0,13.8,22.9,359.0,11.0,29.7,114.0
560,38.9,14.9,24.1,82.8,17.2,21.5,21.5,271.0,13.6,31.9,14.7
561,21.5,12.7,27.6,53.3,53.3,25.3,44.9,325.0,19.3,25.3,9.65
562,64.9,46.6,26.2,21.9,14.1,24.1,31.1,375.0,12.1,27.1,7.99
563,27.1,18.1,15.7,40.7,16.1,21.3,39.6,264.0,15.8,28.9,11.1
564,57.8,27.4,6.61,14.7,18.1,28.1,32.5,349.0,10.3,26.7,9.73
565,39.2,13.2,35.2,26.4,59.4,45.3,72.3,813.0,12.1,27.6,10.2
566,40.7,24.8,15.8,6.67,45.3,13.7,30.5,461.0,15.0,22.1,48.7
567,31.6,17.5,8.9,196.0,20.5,6.61,13.2,365.0,17.5,23.1,20.5
568,88.2,39.6,27.9,89.8,35.9,6.21,24.1,698.0,40.7,73.7,45.7
569,99.1,53.3,17.2,101.0,26.7,38.5,70.4,552.0,2.48,7.91,89.0
570,91.4,18.3,21.5,28.4,4.66,29.2,55.2,588.0,29.4,77.0,200.0
571,50.0,28.1,12.3,117.0,16.3,27.6,40.0,223.0,5.94,24.4,103.0
572,47.0,30.2,22.3,37.5,18.3,2.11,14.1,23.9,2.21,22.7,80.6
573,53.8,22.1,15.8,11.4,10.8,11.7,34.9,193.0,3.34,14.5,77.0
574,32.2,17.6,16.4,88.2,37.2,9.56,22.5,557.0,16.1,31.1,18.4
575,66.7,44.1,14.5,15.4,8.13,15.4,34.0,392.0,22.7,37.9,17.9
576,40.3,14.6,12.2,64.4,20.7,19.1,29.2,382.0,22.1,36.2,17.8
577,14.3,8.43,11.2,15.4,55.2,9.47,33.4,1104.0,26.9,44.1,13.6
578,57.3,35.5,15.3,21.7,20.2,19.5,38.5,396.0,2.62,27.9,8.9
579,2.97,7.23,14.2,73.7,6.85,17.5,25.5,195.0,1.76,8.43,75.0
580,13.1,1.53,34.0,66.7,11.1,12.6,24.6,355.0,1.53,19.3,75.7
581,95.6,33.1,22.7,47.4,12.9,34.3,44.5,237.0,5.67,16.0,82.8
582,36.5,19.3,18.4,16.3,33.7,13.2,106.0,400.0,17.0,35.9,13.5
583,91.4,26.2,22.9,43.3,27.1,20.2,36.2,328.0,12.2,22.9,3.02
584,70.4,41.4,18.3,83.5,14.5,43.7,77.7,1219.0,11.9,22.7,15.8
585,73.7,29.4,27.1,188.0,74.3,13.2,32.2,259.0,20.9,35.9,9.14
586,142.0,107.0,45.7,138.0,75.0,26.4,45.7,403.0,14.6,21.7,11.9
587,34.0,13.3,33.7,271.0,71.0,4.41,39.2,982.0,20.7,28.9,9.65
588,82.8,35.2,25.5,92.2,64.4,7.99,26.9,632.0,14.5,25.0,11.8
589,53.8,23.9,14.1,70.4,4.07,9.22,10.5,334.0,6.04,12.9,75.7
590,62.6,43.3,26.7,170.0,28.4,3.75,10.6,389.0,11.2,18.9,10.9
591,42.6,22.7,14.3,204.0,33.7,56.2,87.4,578.0,5.62,22.3,102.0
592,25.9,11.7,23.7,32.2,24.1,16.7,42.9,483.0,4.18,19.3,40.3
593,50.5,32.2,42.2,47.4,28.4,27.4,46.1,470.0,5.28,13.2,36.2
594,8.66,5.38,8.28,102.0,15.4,19.5,18.1,407.0,11.2,28.1,163.0
595,31.9,22.1,20.9,145.0,26.2,12.7,20.7,334.0,15.7,35.2,12.0
596,31.9,22.5,15.7,32.5,26.9,7.43,25.9,655.0,17.9,44.1,14.7
597,43.3,21.7,21.7,16.0,22.5,2.81,12.3,757.0,8.35,26.4,13.0
598,56.2,34.9,25.9,6.21,1.0,19.6,37.9,352.0,1.0,3.82,5.14
599,47.8,34.9,13.5,21.7,13.9,9.56,19.1,483.0,1.55,25.3,87.4
600,14.3,22.3,10.0,31.6,29.4,5.52,21.9,334.0,14.2,26.4,10.3
601,31.6,23.5,31.3,14.5,14.1,10.3,16.8,478.0,5.09,12.1,50.5
602,58.8,19.1,19.6,100.0,19.8,9.65,45.7,939.0,2.09,13.9,61.0
